FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
08095,0,0,0,0,0,0,0,0,0,0,0,0,0
08097,10,13,9,0,8,11,9,12,6,11,10,8,8
08099,0,0,0,0,0,6,0,0,0,0,0,0,0
08101,14,17,17,18,18,18,15,16,16,17,17,15,16
08103,0,16,11,0,12,0,14,9,0,14,9,12,7
08105,0,15,9,0,0,13,9,10,7,8,13,13,14
08107,7,10,11,6,12,6,10,9,5,9,7,7,10
08109,8,8,0,9,0,12,0,0,8,7,12,10,7
08111,0,0,0,0,6,0,0,0,0,6,0,0,0
08113,0,0,7,6,0,0,0,0,5,0,0,0,5
08115,0,0,0,0,0,0,0,0,0,0,0,0,0
08117,9,8,9,8,9,7,6,9,6,7,11,6,15
08119,12,12,13,13,13,12,14,12,12,12,13,15,13
08121,0,0,0,0,0,0,0,0,7,0,7,10,0
08123,12,13,11,11,12,11,10,8,9,10,8,11,8
08125,0,0,0,0,0,0,0,0,0,5,0,4,0
09110,17,15,17,17,19,19,19,19,19,19,19,18,15
09120,6,6,6,6,6,6,6,6,6,6,5,4,14
09130,16,14,16,14,17,18,18,17,19,18,17,15,12
09140,9,9,9,11,11,12,12,13,13,14,13,12,15
09150,15,14,13,16,18,18,17,18,18,19,17,16,15
09160,11,9,12,15,17,17,14,16,18,18,16,12,16
09170,10,10,9,11,10,12,12,13,12,15,13,13,14
09180,11,12,14,16,15,17,17,17,17,18,16,17,12
09190,8,8,9,10,10,11,11,11,12,12,11,9,13
10001,15,17,16,16,17,16,16,14,18,18,15,17,17
10003,15,15,14,15,15,15,17,18,19,19,17,17,18
10005,16,16,13,15,15,15,18,16,18,19,18,15,17
11001,13,13,12,14,12,14,18,19,18,19,19,18,18
12001,11,10,10,9,9,10,9,8,7,8,8,6,8
12003,13,13,15,14,12,12,14,15,13,13,15,17,17
