FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
12103,4,6,8,11,12,12,11,12,11,6,9,10,10
12105,12,11,13,12,13,13,13,13,13,13,13,13,14
12107,4,8,13,13,14,13,13,13,13,13,13,12,13
12109,13,14,14,15,14,15,14,14,15,15,14,16,15
12111,11,12,12,13,13,13,11,11,12,12,13,14,14
12113,12,12,13,15,14,13,15,13,14,13,12,13,13
12115,11,11,11,12,13,11,12,11,12,12,11,13,14
12117,11,12,14,13,14,13,13,12,13,14,13,13,14
12119,9,11,11,13,12,14,15,15,14,14,14,14,14
12121,14,16,13,15,15,14,17,12,15,15,14,14,13
12123,17,16,2,16,17,15,16,12,12,17,16,12,13
12125,11,13,12,13,13,13,13,13,13,14,13,13,13
12127,11,11,12,11,13,12,12,12,11,11,6,8,10
12129,16,16,16,16,16,17,16,15,15,15,15,13,13
12131,13,15,12,16,15,14,13,14,14,13,13,11,12
12133,12,15,12,16,15,14,12,14,13,12,13,12,13
13001,16,16,16,17,11,16,15,14,16,16,14,13,12
13003,17,16,17,16,13,17,16,15,15,16,13,17,11
13005,16,16,17,17,4,17,17,13,17,16,12,12,12
13007,17,17,17,17,17,17,17,17,17,16,16,17,16
13009,17,17,17,17,17,16,17,17,17,17,18,16,13
13011,11,11,11,17,11,12,13,14,13,11,14,11,13
13013,11,13,12,12,12,13,13,13,13,13,15,15,12
13015,11,11,12,14,12,12,13,12,13,13,12,11,13
13017,17,17,17,17,17,17,17,15,17,17,18,17,18
13019,17,16,17,16,17,17,16,14,15,16,16,17,14
13021,14,13,15,14,15,15,15,15,16,16,16,15,15
13023,17,17,17,16,16,16,16,15,17,17,17,15,16
13025,15,13,13,12,12,12,13,12,14,16,12,12,12
13027,16,16,15,17,17,16,16,17,15,16,18,15,14
13029,14,17,16,16,15,16,15,14,16,16,16,16,15
13031,16,17,16,17,16,17,16,15,16,17,14,15,14
